Breed,Group,URL
Portuguese Podengo Pequeno,,https://www.akc.org/dog-breeds/portuguese-podengo-pequeno/
Portuguese Podengo,,https://www.akc.org/dog-breeds/portuguese-podengo/
Portuguese Pointer,,https://www.akc.org/dog-breeds/portuguese-pointer/
Portuguese Sheepdog,,https://www.akc.org/dog-breeds/portuguese-sheepdog/
Portuguese Water Dog,,https://www.akc.org/dog-breeds/portuguese-water-dog/
Presa Canario,,https://www.akc.org/dog-breeds/presa-canario/
Pudelpointer,,https://www.akc.org/dog-breeds/pudelpointer/
Pug,Toy Group,https://www.akc.org/dog-breeds/pug/
Puli,,https://www.akc.org/dog-breeds/puli/
Pumi,,https://www.akc.org/dog-breeds/pumi/
Pyrenean Mastiff,,https://www.akc.org/dog-breeds/pyrenean-mastiff/
Pyrenean Shepherd,,https://www.akc.org/dog-breeds/pyrenean-shepherd/
Rafeiro do Alentejo,,https://www.akc.org/dog-breeds/rafeiro-do-alentejo/
Rat Terrier,,https://www.akc.org/dog-breeds/rat-terrier/
Redbone Coonhound,,https://www.akc.org/dog-breeds/redbone-coonhound/
Rhodesian Ridgeback,,https://www.akc.org/dog-breeds/rhodesian-ridgeback/
Romanian Carpathian Shepherd,,https://www.akc.org/dog-breeds/romanian-carpathian-shepherd/
Romanian Mioritic Shepherd Dog,,https://www.akc.org/dog-breeds/romanian-mioritic-shepherd-dog/
Rottweiler,,https://www.akc.org/dog-breeds/rottweiler/
Russell Terrier,,https://www.akc.org/dog-breeds/russell-terrier/
Russian Toy,,https://www.akc.org/dog-breeds/russian-toy/
Russian Tsvetnaya Bolonka,,https://www.akc.org/dog-breeds/russian-tsvetnaya-bolonka/
Saluki,,https://www.akc.org/dog-breeds/saluki/
Samoyed,,https://www.akc.org/dog-breeds/samoyed/
Schapendoes,,https://www.akc.org/dog-breeds/schapendoes/
Schipperke,,https://www.akc.org/dog-breeds/schipperke/
Scottish Deerhound,,https://www.akc.org/dog-breeds/scottish-deerhound/
Scottish Terrier,,https://www.akc.org/dog-breeds/scottish-terrier/
Sealyham Terrier,,https://www.akc.org/dog-breeds/sealyham-terrier/
Segugio Italiano,,https://www.akc.org/dog-breeds/segugio-italiano/
Shetland Sheepdog,,https://www.akc.org/dog-breeds/shetland-sheepdog/
Shiba Inu,,https://www.akc.org/dog-breeds/shiba-inu/
Shih Tzu,,https://www.akc.org/dog-breeds/shih-tzu/
Shikoku Ken,,https://www.akc.org/dog-breeds/shikoku-ken/
Siberian Husky,,https://www.akc.org/dog-breeds/siberian-husky/
Silky Terrier,,https://www.akc.org/dog-breeds/silky-terrier/
Skye Terrier,,https://www.akc.org/dog-breeds/skye-terrier/
Sloughi,,https://www.akc.org/dog-breeds/sloughi/
Slovakian Wirehaired Pointer,,https://www.akc.org/dog-breeds/slovakian-wirehaired-pointer/
Slovensky Cuvac,,https://www.akc.org/dog-breeds/slovensky-cuvac/
Slovensky Kopov,,https://www.akc.org/dog-breeds/slovensky-kopov/
Small Munsterlander,,https://www.akc.org/dog-breeds/small-munsterlander/
Smooth Fox Terrier,,https://www.akc.org/dog-breeds/smooth-fox-terrier/
Soft Coated Wheaten Terrier,,https://www.akc.org/dog-breeds/soft-coated-wheaten-terrier/
Spanish Mastiff,,https://www.akc.org/dog-breeds/spanish-mastiff/
Spanish Water Dog,,https://www.akc.org/dog-breeds/spanish-water-dog/
Spinone Italiano,,https://www.akc.org/dog-breeds/spinone-italiano/
Saint Bernard,,https://www.akc.org/dog-breeds/st-bernard/
Stabyhoun,,https://www.akc.org/dog-breeds/stabyhoun/
Staffordshire Bull Terrier,,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/
Standard Schnauzer,,https://www.akc.org/dog-breeds/standard-schnauzer/
Sussex Spaniel,,https://www.akc.org/dog-breeds/sussex-spaniel/
Swedish Lapphund,,https://www.akc.org/dog-breeds/swedish-lapphund/
Swedish Vallhund,,https://www.akc.org/dog-breeds/swedish-vallhund/
Taiwan Dog,,https://www.akc.org/dog-breeds/taiwan-dog/
Teddy Roosevelt Terrier,,https://www.akc.org/dog-breeds/teddy-roosevelt-terrier/
Thai Bangkaew,,https://www.akc.org/dog-breeds/thai-bangkaew/
Thai Ridgeback,,https://www.akc.org/dog-breeds/thai-ridgeback/
Tibetan Mastiff,,https://www.akc.org/dog-breeds/tibetan-mastiff/
Tibetan Spaniel,,https://www.akc.org/dog-breeds/tibetan-spaniel/
Tibetan Terrier,,https://www.akc.org/dog-breeds/tibetan-terrier/
Tornjak,,https://www.akc.org/dog-breeds/tornjak/
Tosa,,https://www.akc.org/dog-breeds/tosa/
Toy Fox Terrier,,https://www.akc.org/dog-breeds/toy-fox-terrier/
Transylvanian Hound,,https://www.akc.org/dog-breeds/transylvanian-hound/
Treeing Tennessee Brindle,,https://www.akc.org/dog-breeds/treeing-tennessee-brindle/
Treeing Walker Coonhound,,https://www.akc.org/dog-breeds/treeing-walker-coonhound/
Vizsla,,https://www.akc.org/dog-breeds/vizsla/
Volpino Italiano,,https://www.akc.org/dog-breeds/volpino-italiano/
Weimaraner,,https://www.akc.org/dog-breeds/weimaraner/
Welsh Springer Spaniel,,https://www.akc.org/dog-breeds/welsh-springer-spaniel/
Welsh Terrier,,https://www.akc.org/dog-breeds/welsh-terrier/
West Highland White Terrier,,https://www.akc.org/dog-breeds/west-highland-white-terrier/
Wetterhoun,,https://www.akc.org/dog-breeds/wetterhoun/
Whippet,,https://www.akc.org/dog-breeds/whippet/
Wire Fox Terrier,,https://www.akc.org/dog-breeds/wire-fox-terrier/
Wirehaired Pointing Griffon,,https://www.akc.org/dog-breeds/wirehaired-pointing-griffon/
Wirehaired Vizsla,,https://www.akc.org/dog-breeds/wirehaired-vizsla/
Working Kelpie,,https://www.akc.org/dog-breeds/working-kelpie/
Xoloitzcuintli,,https://www.akc.org/dog-breeds/xoloitzcuintli/
Yakutian Laika,,https://www.akc.org/dog-breeds/yakutian-laika/
Yorkshire Terrier,,https://www.akc.org/dog-breeds/yorkshire-terrier/
