Breed,Category,URL
Hungarian Kuvasz (Imp),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/hungarian-kuvasz-imp/
Hungarian Mudi (Imp),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/hungarian-mudi-imp/
Hungarian Puli,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/hungarian-puli/
Hungarian Pumi,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/hungarian-pumi/
Hungarian Vizsla,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/hungarian-vizsla/
Hungarian Wirehaired Vizsla,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/hungarian-wirehaired-vizsla/
Ibizan Hound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/ibizan-hound/
Icelandic Sheepdog (Imp),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/icelandic-sheepdog-imp/
Irish Red & White Setter,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/irish-red-white-setter/
Irish Setter,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/irish-setter/
Irish Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/irish-terrier/
Irish Wolfhound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/irish-wolfhound/
Italian Greyhound,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/italian-greyhound/
Italian Spinone,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/italian-spinone/
Jack Russell Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/jack-russell-terrier/
Japanese Akita Inu,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/japanese-akita-inu/
Japanese Chin,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/japanese-chin/
Japanese Shiba Inu,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/japanese-shiba-inu/
Japanese Spitz,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/japanese-spitz/
Keeshond,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/keeshond/
Kerry Blue Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/kerry-blue-terrier/
King Charles Spaniel,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/king-charles-spaniel/
Komondor,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/komondor/
Kooikerhondje,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/kooikerhondje/
Korean Jindo (Imp),Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/korean-jindo-imp/
Korthals Griffon (Imp),Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/korthals-griffon-imp/
Lagotto Romagnolo,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/lagotto-romagnolo/
Lakeland Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/lakeland-terrier/
Lancashire Heeler,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/lancashire-heeler/
Large Munsterlander,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/large-munsterlander/
Leonberger,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/leonberger/
Lhasa Apso,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/lhasa-apso/
Lowchen (Little Lion Dog),Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/lowchen-little-lion-dog/
Maltese,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/maltese/
Manchester Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/manchester-terrier/
Maremma Sheepdog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/maremma-sheepdog/
Mastiff,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/mastiff/
Miniature Pinscher,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/miniature-pinscher/
Miniature Schnauzer,Utility,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/utility/miniature-schnauzer/
Neapolitan Mastiff,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/neapolitan-mastiff/
Newfoundland,Working,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/working/newfoundland/
Norfolk Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/norfolk-terrier/
Norwegian Buhund,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/norwegian-buhund/
Norwegian Elkhound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/norwegian-elkhound/
Norwich Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/norwich-terrier/
Old English Sheepdog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/old-english-sheepdog/
Otterhound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/otterhound/
Papillon,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/papillon/
Parson Russell Terrier,Terrier,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/terrier/parson-russell-terrier/
Pekingese,Toy,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/toy/pekingese/
Pharaoh Hound,Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/pharaoh-hound/
Picardy Sheepdog (Imp),Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/picardy-sheepdog-imp/
Pointer,Gundog,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/gundog/pointer/
Polish Hunting Dog (Imp),Hound,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/hound/polish-hunting-dog-imp/
Polish Lowland Sheepdog,Pastoral,https://www.royalkennelclub.com/search/breeds-a-to-z/breeds/pastoral/polish-lowland-sheepdog/
