Breed,FCINumber,Section,Subsection,Country,Status,DateAcceptance,DateStandard,Language,WorkingTrial,URL
SCHIPPERKE,83,Sheepdogs,,"BELGIUM",Recognized on a definitive basis,10/27/1954,7/28/2009,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SCHIPPERKE-83.html
SCHNAUZER,182,Pinscher and Schnauzer type,Schnauzer,"GERMANY",Recognized on a definitive basis,7/13/1955,3/6/2007,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SCHNAUZER-182.html
SCHWEIZER LAUFHUND - CHIEN COURANT SUISSE,59,Scent hounds,Medium-sized Hounds,"SWITZERLAND",Recognized on a definitive basis,8/25/1954,11/28/2001,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SWISS-HOUND-59.html
SCHWEIZER NIEDERLAUFHUND,60,Scent hounds,Small-sized Hounds,"SWITZERLAND",Recognized on a definitive basis,8/27/1954,10/13/2015,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SMALL-SWISS-HOUND-60.html
SCOTTISH TERRIER,73,Small sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,10/18/1954,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SCOTTISH-TERRIER-73.html
SEALYHAM TERRIER,74,Small sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,10/19/1954,3/26/2009,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SEALYHAM-TERRIER-74.html
SEGUGIO ITALIANO A PELO FORTE,198,Scent hounds,Medium-sized Hounds,"ITALY",Recognized on a definitive basis,3/9/1956,11/13/2015,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ITALIAN-ROUGH-HAIRED-SEGUGIO-198.html
SEGUGIO ITALIANO A PELO RASO,337,Scent hounds,Medium-sized Hounds,"ITALY",Recognized on a definitive basis,5/11/1993,11/13/2015,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ITALIAN-SHORT-HAIRED-SEGUGIO-337.html
SEGUGIO MAREMMANO,361,Scent hounds,Medium-sized Hounds,"ITALY",Recognized on a provisional basis,,9/12/2018,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SEGUGIO-MAREMMANO-361.html
SHAR PEI,309,Molossian type,Mastiff type,"CHINA",Recognized on a definitive basis,6/30/1981,4/14/1999,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SHAR-PEI-309.html
SHETLAND SHEEPDOG,88,Sheepdogs,,"GREAT BRITAIN",Recognized on a definitive basis,11/9/1954,8/19/2013,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SHETLAND-SHEEPDOG-88.html
SHIBA,257,Asian Spitz and related breeds,,"JAPAN",Recognized on a definitive basis,3/18/1964,10/30/2016,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SHIBA-257.html
SHIH TZU,208,Tibetan breeds,,"Tibet (China)",Recognized on a definitive basis,12/16/1957,8/22/2017,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SHIH-TZU-208.html
SHIKOKU,319,Asian Spitz and related breeds,,"JAPAN",Recognized on a definitive basis,2/1/1982,10/30/2016,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SHIKOKU-319.html
SIBERIAN HUSKY,270,Nordic Sledge Dogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,9/8/1966,11/14/2022,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SIBERIAN-HUSKY-270.html
SKYE TERRIER,75,Small sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,10/20/1954,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SKYE-TERRIER-75.html
